id,income
37021001600,67143
37021001700,33531
37021001801,51341
37021001802,45571
37021001900,31463
37021002000,148333
37021002101,40570
37021002102,35530
37021002203,62974
37021002204,74821
37021002205,47188
37021002206,61369
37021002301,55938
37021002302,43750
37021002401,38216
37021002402,33895
37021002503,44583
37021002504,47662
37021002505,29990
37021002506,41010
37021002603,51539
37021002604,40977
37021002605,35833
37021002606,43108
37021002607,54453
37021002701,46331
37021002702,53651
37021002703,50324
37021002803,47436
37021002804,34722
37021002900,48500
37021003001,38453
37021003002,42368
37021003102,47283
37021003103,39515
37021003104,63289
37021003201,55545
37021003202,51731
37021003203,57048
37021003204,47386
37021003205,30028
37023020100,50846
37023020201,51322
37023020202,43550
37023020301,45951
37023020302,36838
37023020500,30841
37023020600,42982
37023020801,42188
37023020802,44219
37023020900,34863
37023021000,35115
37023021100,32929
37023021201,37564
37023021202,38542
37023021203,42366
37023021301,35329
37023021302,33517
37023021400,60521
37025040500,55417
37025040600,36250
37025040701,47672
37025040702,24025
37025040703,33071
37025040800,44750
37025040900,29795
37025041000,58504
37025041100,49120
37025041200,88750
37025041301,86004
37025041302,107191
37025041303,85409
37025041501,70455
37025041502,74242
37025041503,60394
37025041601,57889
37025041602,49521
37025041701,49965
37025041702,35037
37025041901,30175
37025041902,42643
37025042000,26531
37025042101,39005
37025042102,54484
37025042200,35475
37025042300,53333
37025042401,41011
37025042402,80020
37025042501,45288
37025042502,60811
37025042503,112721
37025042504,89141
37025042601,49939
37025042602,75934
37025042603,60250
37025042604,26314
37027030100,24826
37027030200,30281
37027030300,26992
37027030400,46400
37027030500,44962
37027030600,32822
37027030700,39022
37027030800,27296
37027030900,40625
37027031000,32055
37027031100,37105
37027031201,36353
37027031202,57024
37027031300,36563
37027031401,33750
37027031402,38616
37027031403,65378
37029950101,56058
37029950102,63516
37031970101,50559
37031970102,40788
37031970103,50078
37031970200,63824
37031970301,25664
37031970302,41548
37031970303,36085
37031970304,33594
37031970401,32109
37031970402,60625
37031970403,31448
37031970501,65375
37031970502,51522
37031970503,39534
37031970504,38640
37031970601,86944
37031970602,40644
37031970603,68831
37031970604,51328
37031970605,43438
37031970701,46829
37031970702,38766
37031970703,42930
37031970704,49583
37031970801,72938
37031970802,61974
37031970803,70250
37031970804,48510
37031970805,81042
37031970901,46825
37031970902,59306
37031970903,37378
37031971001,66466
37031971002,37031
37031971101,48409
37031971102,41507
37031980100,32057
37031990100,35111
37031990200,36417
37033930100,42394
37033930200,38842
37033930300,45759
37033930400,48826
37033930500,37067
37033930600,44714
37035010101,43571
37035010102,56771
37035010201,43026
37035010202,38125
37035010301,37872
37035010302,25680
37035010303,65938
37035010304,77450
37035010401,45888
37035010402,25786
37035010501,30682
37035010502,32067
37035010600,49107
37035010700,45385
37035010900,33686
37035011000,29693
37035011101,47367
37035011102,50346
37035011200,47049
37035011300,72667
37035011401,61658
37035011402,42790
37035011501,46106
37035011503,53720
37035011504,50613
37035011601,59500
37035011602,43438
37035011701,78500
37035011702,83597
